title,ingredients,instruction,list_for_serving,_id
Shredded Beef Tacos,"['1 (2.5 - 3 lb) chuck roast or cross rib roast', '1 1/2 Tbsp', '', '1 (14 oz) can beef broth', '1 1/2 Tbsp', '1/2 Tbsp', '1/2 Tbsp', '1 tsp', 'Juice of 1 lime']","['Slow Cooker Best Method 1: Heat olive oil in a large pot over medium-high heat. Dab both sides of beef dry with paper towels.\xa0Season beef with salt and pepper (about 1 tsp salt, 3/4 tsp pepper) and sear in pot until browned on both sides, about 3 to 4 minutes on each side.', 'Transfer beef to a 6 or 7 quart slow cooker. Remove pot from heat and add chili powder, cumin, onion powder and garlic powder all at once and saute just briefly (using the residual heat of the pot), then pour in beef broth and scrape up browned bits from bottom of pan. Pour broth mixture over roast in slow cooker, skip to step 4.', 'Slow Cooker Quick Method 2: Place roast in slow cooker, pour in broth. Sprinkle with salt and pepper, chili powder, cumin,  onion powder and garlic powder (pouring spices over the roast and into the broth on the sides).', 'Cover slow cooker and cook on low heat 8 hours.', 'Remove roast from slow cooker, shred beef (remove fat) and return shredded beef to slow cooker (season with a little more salt if needed).\xa0', 'Add in lime juice, cover with lid and cook on low an additional 10 minutes while preparing toppings and tortillas.', 'Remove beef from slow cooker with tongs to remove juices when plating or drain in a colander.\xa0', 'Serve in warmed tortillas with desired toppings.']","['Warmed corn tortillas or fresh flour tortillas', 'Chopped romaine lettuce', 'Shredded monterey jack or cheddar cheese', 'Guacamole or diced avocados', 'or Mexican crema', 'Fresh pico de gallo or diced tomatoes', 'Freshly squeezed lime juice', 'Mexican hot sauce', 'such as Tapatio or Valentina']",673b98e311e322a5d3ed8b40
Taco Pasta,"['1 Tbsp', '1 cup chopped', '1 lb 93% lean ground beef*', 'and black pepper', '2 tsp minced', '1 1/2 Tbsp', '1 1/2 tsp', '1 tsp', '1 1/4 cups then 1/4 cup more if needed', '2 cups', '1 (14.5 oz) can fire roasted tomatoes (undrained)', '1 (4 oz) can can mild green chilies (undrained)', '12 oz. fusilli pasta', '1 cup (4 oz) shredded sharp cheddar cheese,  plus more for serving if desired', '2 Tbsp chopped or parsley (optional)']","['Heat olive oil in a 12-inch saute pan (4 quart) or a pot over medium-high heat. Add onion and saute 4 minutes. ', 'Scoot onion to the side and crumble in beef into pan in small chunks, season lightly with salt. ', 'Let the beef cook until slightly browned on bottom about 2 to 3 minutes then break up beef, toss with onions and add garlic. Continue to cook while tossing and breaking up beef occasionally, until beef is cooked through, about 3 to 4 minutes longer (drain fat if you used a fattier ground beef).', 'Add chili powder, cumin and paprika and cook 30 seconds, tossing occasionally.', 'Pour in chicken broth, milk, tomatoes, and green chilies. Season mixture with salt and pepper to taste. Bring mixture to a simmer then add pasta and stir (try to submerge pasta in liquid as much as possible).', 'Reduce heat to medium-low, cover and simmer 6 minutes. Then stir and continue to cook until pasta is tender about 6 to 8 minutes longer. Stir again.', 'Let rest off heat 1 minute for liquid to soak in, then toss in cheddar cheese and let melt. Thin with a little more chicken broth as needed.', 'Garnish with cilantro or parsley if desired.']",[],673b98e311e322a5d3ed8b41
Sloppy Joes,"['1 Tbsp', '3/4 cup', '3/4 cup chopped red bell pepper', '1 lb', '2 minced (2 tsp)', '1 tsp (regular or Ancho)', '1 tsp (sweet or smoked)', '1/2 tsp ground mustard', '', '1 (8 oz) can', '1/2 cup', '1 Tbsp', '1 tsp natural hickory smoke flavor', 'Water or broth, for thinning as needed', '4  or bakery fresh']","['Crumble in beef, let sear until browned on bottom, about 2 - 3 minutes. Then turn and start to break up beef and toss with peppers and onions, continue to cook 2 - 3 minutes or until nearly cooked through.\xa0', 'Stir in tomato sauce, ketchup, Worcestershire, smoke flavor. Reduce heat and simmer until heated through, about 2 minutes. Thin the mixture with splashes of water, beef broth or chicken broth as needed.']",[],673b98e311e322a5d3ed8b42
Sausage and Peppers,"['5 Italian sausage links (20 oz.), mild or spicy', '1 Tbsp', '2 large (one red, and one yellow or green), cored and sliced', '1 large sliced', '3 Tbsp', '1 Tbsp minced', '1/2 tsp or to taste', '3/4 cup them more to taste', '1 Tbsp', '1 large roma tomato, halved and sliced', '3 Tbsp chopped', '1 tsp', '1/4 cup finely shredded (grate with a rasp grater)', 'or parsley, for garnish']","['Heat olive oil on a large skillet over medium heat. Add sausage and cook until browned on all sides, about 8 to 10 minutes. Transfer sausage to a plate while leaving rendered fat in skillet.', 'Return pan to medium heat, add bell peppers and onions and saute 3 minutes.', 'Add tomato paste, garlic, and red pepper flakes and saute 1 minute.', 'Pour in chicken broth and balsamic vinegar, add tomato, basil, oregano, and season with salt and pepper to taste. Toss mixture then nestle sausages into pepper mixture. ', 'Bring to a simmer, then reduce heat to low. Cover and simmer until sausages are cooked through (160°F in center) and peppers are tender, about 10 minutes. If needed add another 1/4 cup chicken broth to thin sauce.', 'Remove sausages and let rest 5 minutes on a cutting board tented with foil.  Keep pepper mixture in pan covered with lid so it stays warm.', 'Slice sausage then return to pan along with parmesan cheese. Toss mixture. Garnish with basil or parsley. Serve in hoagie buns, or with potatoes, rice, polenta, pasta, etc.']",[],673b98e311e322a5d3ed8b43
Korean Beef Bowls,"['1 1/2 Tbsp', '1 1/2 Tbsp  (light can be substituted)', '1 Tbsp', '2 tsp', '3 Tbsp', '2 Tbsp  water', '2 tsp', '18  oz.  85% lean ground beef', '1/3 cup white and light portion', '1  Tbsp', '1 Tbsp peeled and minced fresh ginger', '1/2 tsp (optional)', '1 tsp mixed with 2 tsp water (optional)', 'Chopped green onions (green portion), chopped unsalted peanuts, or toasted sesame seeds', '2 cups cooked white or brown rice, or cauliflower ""rice"" (or more as desired)']","['In a small mixing bowl whisk together honey, brown sugar, sesame oil, lime juice, soy sauce and water. Set aside.', ""Preheat a 12-inch non-stick skillet over moderately high heat. Crumble beef into 1-inch chunks. Add oil to skillet and beef chunks (while leaving some space between them so they brown and don't steam)."", 'Let beef cook undisturbed for 2 1/2 - 3 minutes until nicely browned on bottom.\xa0Sprinkle in green onions (white/light portion), garlic, ginger and optional red pepper flakes.', ""Toss and break up beef and continue to cook until beef if fully browned and cooked through, about 2 - 3 minutes longer.\xa0If there's excess fat you can dab some if up using a few balled up paper towels held by tongs."", 'Pour in honey mixture and reduce heat to medium. If you want the sauce thickened add cornstarch/water mixture at this point. Simmer beef with sauce, stirring frequently for about 1 minute. Taste for more soy sauce or a little salt if needed.', 'Serve warm over rice, sprinkle with green onions greens, peanuts or toasted sesame seeds.\xa0']",[],673b98e311e322a5d3ed8b44
Ham and Cheese Sliders,"['12 square dinner rolls (from bakery as a whole slab), halved through center', '1 1/2 Tbsp', '1 Tbsp', '1 1/2 Tbsp', '2 tsp', '1 lb thin sliced deli ham, such as black forest ham', '12 oz. sliced']","['Preheat oven to 350 degrees. ', 'Place bottom portion of roll halves (still intact as a single slab) into 13 by 9-inch baking dish.', 'In a small mixing bowl stir together yellow mustard, dijon mustard, mayonnaise and honey. Spread half of the mixture over bottom roll halves in baking dish and also over the the bottom side of the tops of the rolls halves.', 'Layer ham slices over the roll bottoms in the baking dish, folding and overlapping it to fit. ', 'Top ham with a layer of the Swiss cheese, folding and overlapping to fit slices.', 'Cover the cheese with the top halves of the rolls.', 'To a microwave safe bowl add butter, poppy seeds, sesame seeds, onion, and garlic powder. Heat in microwave until melted, stir in Worcestershire sauce.', 'Generously brush all of the butter mixture over tops of rolls.', 'Cover with foil and bake until cheese has nearly melted, about 20 minutes. Uncover and bake 5 minutes longer. Serve warm.', 'Optionally you can garnish with 1 Tbsp finely minced parsley for a pop of fresh color.']","['5', 'Tbsp', 'cut into 1 Tbsp pieces', '1 1/2', 'tsp', '1 1/2', 'tsp', '(white or black)', '2', 'tsp', 'dried minced onion', '1/2', 'tsp', '2', 'tsp']",673b98e311e322a5d3ed8b45
Black Bean Soup,"['4 (14.5 oz) cans black beans, divided', '6 slices (7 oz) chopped into small pieces', '1 large chopped (1 3/4 cups)', '1 medium  or 1 large poblano pepper, seeded, stemmed and diced small', '4 tsp minced (4 cloves)', '2 (14.5 oz) cans divided', '1 (14.5 oz) can fire roasted diced tomatoes', '1 tsp (regular or Ancho)', '1 tsp', 'and black pepper', '1 Tbsp', '1/3 cup chopped']","['Place 1 1/2 cans of drained black beans in a food processor along with 1/2 cup of the chicken broth and pulse until well pureed. Rinse remaining 2 1/2 cans of black beans in a colander. Set all black beans aside.', 'Heat a large pot over medium heat. Add bacon and cook until crisp, tossing occasionally. Transfer to a paper towel lined plate leaving rendered bacon fat in pot.', 'Add in onions and bell pepper or poblano pepper to pot and saute 3 minutes then add garlic, chili powder and cumin and saute 1 minute longer. Stir in remaining chicken broth (3 cups). ', 'Pour in remaining chicken broth (3 cups) black beans, black bean puree mixture, fire roasted tomatoes, and season with salt and pepper to taste. ', 'Bring to a boil then reduce heat to medium-low, cover and simmer 15 minutes, stirring occasionally.', 'Stir cooked bacon, lime juice and cilantro and serve warm with desired toppings.']","[', cheese (shredded Mexican or cheddar cheese), diced avocado, diced roma tomatoes, chopped cilantro, tortilla chips']",673b98e311e322a5d3ed8b46
Greek Meatballs (Keftedes),"['1 1/2 Tbsp', '1 1/2 cups (3.5 oz) stale sourdough breadcrumbs** (from about 2 slices)', '1/3 cup', '2 lbs 85% lean ground beef', '2 tsp', '1 tsp', '2 tsp', '1 1/2 tsp', '1 tsp', '1/4 cup finely chopped', '1/4 cup finely chopped fresh mint or cilantro', '1/2 cup finely minced (chop as small as you mince garlic)', '2 tsp minced', '2 large']","['Preheat oven to 425 degrees. Brush a baking sheet (preferably dark non-stick) with 1 1/2 Tbsp olive oil.', 'In a mixing bowl toss fresh bread crumbs with milk. Let rest 5 minutes while you prepare the ingredients for the meatballs.', 'Add ground beef to the soaked crumbs, evenly sprinkle over salt, pepper, cumin, oregano, and coriander. Add parsley, mint, red onion, garlic and eggs.', 'Toss mixture with your hands and gently crumble and mix together until mixture is uniformly combined.', 'Shape meatball mixture into balls about 1 1/2 inches each or 42 grams.', 'Place on baking sheet and rub bottom side over the olive oil. Repeat to use up all of the meatball mixture and space meatballs evenly apart on baking sheet.', 'Bake in preheated oven until center of meatballs registers 165 degrees, about 15 to 19 minutes (test a few meatballs in center of baking sheet too for doneness as the center usually cooks a little slower than edges).', 'Preferably serve with fresh made ', ' for dipping.']",[],673b98e311e322a5d3ed8b47
Texas Chili Con Carne,"['4 New Mexico chilies,  stems and seeds removed (about 5 to 6-inches each)', '3 Ancho chilies, stems and seeds removed (about 4 inches each)', '3 cups then more as needed', '4 lbs. boneless beef chuck, cut into bite size cubes (about 1 inch)', '2 Tbsp', 'and black pepper', '1 extra large chopped (2.5 cups)', '1 chopped (1.5 cups)', '2 to 6 jalapeños, seeds and ribs removed for less heat if desired, diced (optional)*', '4 minced (1.5 Tbsp)', '1 Tbsp', '2 tsp', '1 1/2 tsp', '1/2 tsp', '2 tsp Mexican oregano', '2 tsp', '2 cups tomato puree, then more as needed']","['Heat a large pot over medium heat. Add chilies and let cook on each side until slightly darkened and toasted, about 2 minutes per side.', 'Pour in chicken broth and bring to a boil. Remove from heat, cover and let steep for 5 to 10 minutes until peppers have softened.', ""Transfer mixture to a blender. Remove center insert from lid and cover blender, then place a folded kitchen towel over top (this allows steam to escape so lid doesn't burst off from built up excessive trapped heat). Start blending on low speed then slowly increase to high and blend mixture until smooth. Set aside."", 'Heat 1 Tbsp oil in pot over medium-high heat. Dab roast dry. Working in 3 to 4 batches season with salt and pepper then sear pieces in pot, leaving space between pieces and not over-crowding. Sear about 3 minutes on top and bottom side. Transfer pieces to a bowl, and repeat with remaining beef (can add a little more oil if needed).', 'Return clean pot to medium-high heat. Add onion, bell pepper and jalapeños. Saute 4 minutes.', 'Add garlic, cumin, paprika, coriander and allspice and saute 1 minute longer.', 'Pour in tomato puree, chili pepper mixture, Mexican oregano and cocoa powder. Add seared beef and stir.', 'Bring mixture to a simmer then reduce heat to low (it should maintain a very light simmer). Cook until beef is tender, about 2 to 3 hours while adding more broth to thin as desired and more tomato puree for a thicker consistency and more tomato flavor. ', 'Season soup to taste with salt and pepper (do this near the end of soup cooking after broth has reduced as the salts will become more concentrated and you may not need to add very much).']","['shredded cheddar cheese, chopped cilantro, lime wedges, sour cream, Mexican hot sauce, diced onions (green, purple or yellow)']",673b98e311e322a5d3ed8b48
Hamburgers,"['1 1/4 lbs to 1 1/2 lbs 80 to 85% lean ground beef', '3/4 to 1 tsp table salt', '1/2 tsp', '2 tsp', '4 preferably   or bakery fresh, halved, sprayed with olive oil spray and lightly toasted in oven or countertop oven if desired']","['Divide ground beef into 4 equal portions of 5 oz each if using 1 1/4 lbs, or 6 oz each if using 1 1/2 lbs beef. Note that a ', ' will work best for the most even size and therefor even cooking time among the burgers.', ""Gently shape each portion into cylinder like shape then smash into a round that is 4-inches wide and about 3/4-inch thick. Make a slight indent in the center of each patty (so they'll end up cooking more level rather than domed)."", 'Season evenly and quite generously with the salt and pepper on both sides, just once you are ready to cook the burgers.', 'Oil the ', ' with vegetable oil (it works well to just use a balled up paper towel to spread it around), then preheat skillet over medium-high heat on the stovetop. It should heat about 5 to 8 minutes until oil is nearly smoking.  (I recommend turning on exhaust fan too)', 'Place patties in a skillet spacing evenly apart and using a spatula press down over the top of them so the bottom of the burger makes direct contact with the surface of the pan and therefor browns evenly.', 'Let cook undisturbed until nicely browned on bottom, about 4 minutes. Flip and cook until opposite side is browned and burger is cooked through, about 3 to 5 minutes longer. Add cheese after turning if using so it has enough time to melt. ', 'Note that if burger is browning to quickly as it cooks reduce temperature to medium, if using the largest burner on the stove you may find medium is sufficient for entire cook time.', 'I recommend using an instant read food thermometer to test internal temperature of the burgers for doneness. Medium well is 150 to 155. Note that recommend food safe temperature for ground beef is 160 degrees in center.', 'Serve hamburgers in buns with desired sauce and toppings.', 'Preheat a gas grill over medium high heat to 425 to 450 degrees. Clean grill grates and brush with the vegetable oil (using a balled up paper towel and tongs).', 'Place patties on grill (over area of flames). Cover with lid and let grill 4 minutes then turn to opposite side and cook through, about 3 to 5 minutes longer. If adding cheese place on top after turning to allow time to melt.', 'Place a ', ' on a rack in center of the oven. Preheat to 500 degrees. ', 'Once preheated remove hot pan from oven using hot pads and immediately brush oil into pan (using tongs and balled up paper towel). Add burger patties right away and slightly press down with a spatula so they make even contact with pan.', ""Return hot pan to oven right away (again use hot pads pan is extremely hot), reduce oven temperature to 400 degrees and bake until burgers are cooked through, about 7 to 9 minutes, turning during last 1 minute. If you'd like to add cheese add after turning at last 1 minute.""]","['Sauce', 'such as ketchup, mustard, mayo, guacamole or spread**', 'Sliced cheddar cheese,', 'American cheese, PepperJack, Colby, Provolone or Muenster', 'Sliced tomatoes,', 'pickles, red or yellow onion, avocado, cooked bacon or sauteed mushrooms']",673b98e311e322a5d3ed8b49
