_id,book_title,book_author,book_description,image_urls,book_url,image_file_path
67422e7d8868e4abd747951e,"PAI RICO, PAI POBRE - O que os Ricos Ensinam a Seus Filhos Sobre Dinheiro -(EURO 18.85)",Robert T. Kiyosaki,"April of 2022 marks a 25-year milestone for the personal finance classic Rich Dad Poor Dad that still ranks as the #1 Personal Finance book of all time. And although 25 years have passed since Rich Dad Poor Dad was first published, readers will find that very little in the book itself has changed — and for good reason. While so much in our world is changing a high speed, the lessons about money and the principles of Rich Dad Poor Dad haven’t changed. Today, as money continues to play a key role in our daily lives, the messages in Robert Kiyosaki’s international bestseller are more timely and more important than ever.
",['https://covers.openlibrary.org/b/id/14819642-M.jpg'],https://openlibrary.org/works/OL2010879W/Rich_Dad_Poor_Dad?edition=ia%3Apairicopaipobreo0000kiyo,"photos/PAI RICO, PAI POBRE - O que os Ricos Ensinam a Seus Filhos Sobre Dinheiro -(EURO 18.85)__ee023dfc399125dde9e6880d94bfb8ff37f105f1.jpg"
67422e7d8868e4abd747951f,Harry Potter et la Coupe de Feu,J. K. Rowling,"En ce début d'année à Poudlard, une grande nouvelle attend Harry, Ron et Hermione : la tenue d'un tournoi de magie exceptionnel entre les plus célèbres écoles de sorcellerie. Déjà les délégations étrangères font leur entrée. Harry se réjouit... Trop vite. Il va au-devant des événements les plus dramatiques qu'il ait jamais connus.
",['https://covers.openlibrary.org/b/id/12905137-M.jpg'],https://openlibrary.org/works/OL82560W/Harry_Potter_and_the_Goblet_of_Fire?edition=ia%3Aharrypotteretlac0000rowl_l8z4,photos/Harry Potter et la Coupe de Feu__93db8ec13b29ca52d71f3c092715ac93cb1e7c66.jpg
67422e7e8868e4abd7479520,The art of war,Sun Tzu,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period. The work, which is attributed to the ancient Chinese military strategist Sun Tzu
",['https://covers.openlibrary.org/b/id/7883930-M.jpg'],https://openlibrary.org/works/OL244537W/The_Art_of_War?edition=ia%3Aartofwaroldestmi00suntuoft,photos/The art of war__0b0b094beab644664b3aaba9e96430fb212c26e5.jpg
67422e7e8868e4abd7479521,Harry Potter y la piedra filosofal,J. K. Rowling,"Harry Potter #1
",['https:https://archive.org/download/harrypotterylapi0000rowl_q5r6/page/cover_w180_h360.jpg'],https://openlibrary.org/works/OL82563W/Harry_Potter_and_the_Philosopher%27s_Stone?edition=ia%3Aharrypotterylapi0000rowl_q5r6,photos/Harry Potter y la piedra filosofal__ab7b658adcf0f99fbf9d14fcd55fc630e63f9fe4.jpg
67422e7f8868e4abd7479522,A Sutil Arte de Ligar o F*da-se,Mark Manson,"In this book, blogger and former internet entrepreneur Mark Manson explains in simple, no expletives barred terms how to achieve happiness by caring more about fewer things and not caring at all about more.",['https://covers.openlibrary.org/b/id/8577361-M.jpg'],https://openlibrary.org/works/OL17590212W/The_Subtle_Art_of_Not_Giving_a_F%2Ack?edition=ia%3Asutilartedeligar0000mark,photos/A Sutil Arte de Ligar o F*da-se__f559571ab68767d7933b877b5844ed8c34a90963.jpg
67422e808868e4abd7479523,Haunting Adeline,H. D. Carlton,"
",['https://covers.openlibrary.org/b/id/14811848-M.jpg'],https://openlibrary.org/works/OL27310398W/Haunting_Adeline,photos/Haunting Adeline__d9efc9b814b9cff35a304fabde3c343d5363daa3.jpg
67422e808868e4abd7479524,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?
",['https://covers.openlibrary.org/b/id/14640942-M.jpg'],https://openlibrary.org/works/OL18203673W/The_Seven_Husbands_of_Evelyn_Hugo,photos/The Seven Husbands of Evelyn Hugo__7ec85bb3ad0b3462c21518710edbd79b89d1313f.jpg
67422e808868e4abd7479525,Szklany tron,Sarah J. Maas,"Siedemnastoletnia Celaena jest wyszkolonym zabójcą, jednym z najlepszych, ale popełniła fatalny błąd. Została złapana i skazana na dożywotnią niewolniczą pracę w kopalni soli Endovier. Książę Dorian składa jej ofertę. Celaena musi walczyć na śmierć i życie w turnieju o tytuł królewskiego zabójcy. Jeśli wygra – będzie wolna, jeśli przegra – jej wybawieniem będzie śmierć. Uczestnicy turnieju giną w tajemniczych okolicznościach. Czy Celaena zdoła zdemaskować zabójcę zanim sama stanie się ofiarą?
",['https://covers.openlibrary.org/b/id/8174281-M.jpg'],https://openlibrary.org/works/OL16607146W/Throne_of_Glass?edition=ia%3Aisbn_9788377478844,photos/Szklany tron__62f9a6524ef915cb46bee19bee0de19499022b3d.jpg
67422e818868e4abd7479526,Data Structures Through C in Depth,S.K. Srivastava,,['https://covers.openlibrary.org/b/id/13274511-M.jpg'],https://openlibrary.org/works/OL33652784W/Data_Structures_Through_C_in_Depth?edition=ia%3Adatastructuresth0000sksr,photos/Data Structures Through C in Depth__7b764fd08af17ebf37856df32c5153495b9efc6d.jpg
67422e828868e4abd7479527,人性的弱点,Dale Carnegie,"Available for the first time ever in trade paperback, Dale Carnegie's enduring classic, the inspirational personal development guide that shows how to achieve lifelong success. One of the top-selling books of all time, ""How to Win Friends & Influence People"" has sold more than 15 million copies in all its editions.
",['https://covers.openlibrary.org/b/id/14548358-M.jpg'],https://openlibrary.org/works/OL1063267W/How_to_Win_Friends_and_Influence_People?edition=ia%3Arenxingderuodian0000kane_h0y9,photos/人性的弱点__bb122c07adf91190a99975e095ec48db9d48c509.jpg
