id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1425314245550374912,jameson,BOS ,Instagram|@nosemajj Facebook|JamesonJameson Youtube Channel | Jameson's Vlog,2009-11-26 02:49:10,122,188,510,False,2021-08-11 04:32:51,First dose #Pfizer #PfizerVaccine #PfizerBiontech https://t.co/sgJjqrQzVx,"['Pfizer', 'PfizerVaccine', 'PfizerBiontech']",Twitter for iPhone,0,2,False
1347403342977368064,Khaleej Times,United Arab Emirates,"The official Twitter feed of Khaleej Times, the UAE's first and leading English daily
https://t.co/OaJ0rBBfak",2009-01-11 07:56:56,606006,1165,542,True,2021-01-08 04:42:45,"#PfizerBioNTech vaccine appears effective against mutation in new coronavirus variants -study

https://t.co/zGUFeNMBYr",['PfizerBioNTech'],Twitter Web App,6,15,False
1430080231998640139,FADE 2 FIKTION DigMEDIA,,"FADE 2 FIKTION is a Digital Media Services & Information Rendering Start-Up Company registered under the MCA & MSME, Govt. of India.",2021-03-05 08:50:37,14,43,37,False,2021-08-24 08:11:11,"Full Approval To Pfizer-BioNTech COVID-19 Vaccine Granted By The USA
#PfizerBioNTech #COVID19 #USA #Vaccine @pfizer https://t.co/4T1MtdIdOR","['PfizerBioNTech', 'COVID19', 'USA', 'Vaccine']",Twitter Web App,0,0,False
1349462575889707008,Jackson Health System,"Miami, FL","Jackson Health System is an internationally recognized academic medical system offering services ranging from routine care to rare, life-saving procedures.",2009-09-02 20:35:16,12010,837,2126,False,2021-01-13 21:05:24,"We are proud to announce that from January 5th through the 12th Jackson administered 16,215 first doses of the… https://t.co/opn5SpcLYC",,Twitter for iPhone,1,23,False
1365442168584822789,El Marie.,,"mom & wife.
shaped like a flamingo. 
walking dead enthusiast.
#blm #resist",2010-12-22 02:14:05,699,1818,22405,False,2021-02-26 23:22:36,"2nd #PfizerBioNTech dose: ✅
My father flipping off COVID-19🦠🤣 https://t.co/KxhNDhpHTc",['PfizerBioNTech'],Twitter for Android,0,1,False
1350342353723133952,IndSamachar News,India,Digital News Service . IndSamachar delivers news “as is” and not colour it. ‘Aham Brahmasmi’ is the absolute truth. #DigitalNews,2018-04-07 00:15:10,16304,0,1329,False,2021-01-16 07:21:19,"Norway probes 23 elderly patients’ death after Pfizer vaccination 

#Norway #Pfizer #PfizerBioNTech 
https://t.co/iDIwGqscCT","['Norway', 'Pfizer', 'PfizerBioNTech']",Twitter Web App,4,2,False
1346566971316465672,PharmaScholar,"North West, England",We offer bespoke Pharmacy-based tutoring that is tailored exactly to your educational and / or career needs at the point in time when you need it the most.,2019-10-16 14:25:32,147,671,416,False,2021-01-05 21:19:18,I am proud to say that I was involved in the preparation of the #Pfizer - #BioNTech (#PfizerBioNTech) vaccine today… https://t.co/dIFzu9bWMO,"['Pfizer', 'BioNTech', 'PfizerBioNTech']",LinkedIn,0,1,False
1343280375628500994,Baaghi TV باغی ٹی وی,Pakistan,"A digital web news network of Pakisan prevailing truth, justice and accountability shunning corruption, injustice, crime and terrorism. #BaaghiTV",2012-12-17 13:56:38,41834,5,1401,True,2020-12-27 19:39:33,"Lebanon to get first vaccines in February
https://t.co/CJ3OPjIYU0
#coronavirus #Covid_19 #vaccine #PfizerBioNTech","['coronavirus', 'Covid_19', 'vaccine', 'PfizerBioNTech']",Twitter Web App,0,3,False
1350029422733242368,"Party politics isn't working for anyone, anywhere","Wales, United Kingdom","No lie to another is respectful; no lie to yourself is healthy.   ""Official lies"" should mean ""Official jail""",2016-08-03 20:11:00,760,538,35124,False,2021-01-15 10:37:51,"#COVID19 #VACCINE side effects

this particularly monitors #PfizerBioNTech as it's only one available #Netherlands… https://t.co/9aVWxDKunp","['COVID19', 'VACCINE', 'PfizerBioNTech', 'Netherlands']",Twitter Web App,0,3,False
1397860230399135747,Vax Victims,,"Documenting side effects and victims of the #Covid19 #Vaccine, love my countries #UK 🇬🇧 #England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #USA 🇺🇸",2021-05-06 23:59:09,57,196,733,False,2021-05-27 10:20:24,NAILED IT again @RealCandaceO #FDA # #PfizerBioNTech #CDC #pregnancy #COVID19 #vaccine #Pfizer #AstraZeneca… https://t.co/Tkp4Bnabz2,"['FDA', 'PfizerBioNTech', 'CDC', 'pregnancy', 'COVID19', 'vaccine', 'Pfizer', 'AstraZeneca']",Twitter for iPhone,1,2,False
